"","V1","V2","V3"
"1",-2.84658531884162,-3.32593388041954,-2.36723675726371
"2",-2.72822843967981,-3.19851736029767,-2.25793951906195
"3",-2.60987156051799,-3.07135474710196,-2.14838837393402
"4",-2.49151468135618,-2.94446084970089,-2.03856851301147
"5",-2.37315780219436,-2.81785114441043,-1.9284644599783
"6",-2.25480092303255,-2.69154174214512,-1.81806010391998
"7",-2.13644404387073,-2.5655493395985,-1.70733874814297
"8",-2.01808716470892,-2.43989115217086,-1.59628317724698
"9",-1.8997302855471,-2.3145848264776,-1.48487574461661
"10",-1.78137340638529,-2.18964833054447,-1.37309848222611
"11",-1.66301652722347,-2.06509982025914,-1.26093323418781
"12",-1.54465964806166,-1.94095748133141,-1.14836181479191
"13",-1.42630276889984,-1.81723934693377,-1.03536619086592
"14",-1.30794588973803,-1.69396309234709,-0.921928687128965
"15",-1.18958901057621,-1.57114580929701,-0.80803221185542
"16",-1.0712321314144,-1.4488037641739,-0.693660498654901
"17",-0.952875252252585,-1.32695214589073,-0.578798358614437
"18",-0.83451837309077,-1.20560481061973,-0.463431935561805
"19",-0.716161493928955,-1.08477403190968,-0.347548955948233
"20",-0.59780461476714,-0.964470265558048,-0.231138963976232
"21",-0.479447735605325,-0.844701938945862,-0.114193532264789
"22",-0.36109085644351,-0.725475274223167,0.003293561336146
"23",-0.242733977281695,-0.606794153705852,0.121326199142461
"24",-0.12437709811988,-0.488660034132585,0.239905837892824
"25",-0.00602021895806554,-0.371071914142136,0.359031476226005
"26",0.112336660203749,-0.254026356649986,0.478699677057484
"27",0.230693539365564,-0.137517564967611,0.598904643698739
"28",0.349050418527379,-0.021537508778708,0.719638345833466
"29",0.467407297689194,0.0939239062907724,0.840890689087616
"30",0.585764176851009,0.20887863360135,0.962649720100669
"31",0.704121056012824,0.323340254178758,1.08490185784689
"32",0.822477935174639,0.4373237288431,1.20763214150618
"33",0.940834814336454,0.550845143269335,1.33082448540357
"34",1.05919169349827,0.663921454676926,1.45446193231961
"35",1.17754857266008,0.776570247645622,1.57852689767454
"36",1.2959054518219,0.888809505097292,1.7030013985465
"37",1.41426233098371,1.00065739892598,1.82786726304145
"38",1.53261921014553,1.11213210323256,1.9531063170585
"39",1.65097608930734,1.22325163172714,2.07870054688755
"40",1.76933296846916,1.33403369966757,2.20463223727075
"41",1.88768984763097,1.44449560973883,2.33088408552312
"42",2.00604672679279,1.55465416055241,2.45743929303317
"43",2.1244036059546,1.66452557594226,2.58428163596694
